search_text,display_text
"Crop and animal production, hunting and related service activities","Crop and animal production, hunting and related service activities [01]"
"Forestry and logging","Forestry and logging [02]"
"Fishing and aquaculture","Fishing and aquaculture [03]"
"Mining of coal and lignite","Mining of coal and lignite [05]"
"Extraction of crude petroleum and natural gas","Extraction of crude petroleum and natural gas [06]"
"Mining of metal ores","Mining of metal ores [07]"
"Other mining and quarrying","Other mining and quarrying [08]"
"Mining support service activities","Mining support service activities [09]"
"Manufacture of food products","Manufacture of food products [10]"
"Manufacture of beverages","Manufacture of beverages [11]"
"Manufacture of tobacco products","Manufacture of tobacco products [12]"
"Manufacture of textiles","Manufacture of textiles [13]"
"Manufacture of wearing apparel","Manufacture of wearing apparel [14]"
"Manufacture of leather and related products","Manufacture of leather and related products [15]"
"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials","Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials [16]"
"Manufacture of paper and paper products","Manufacture of paper and paper products [17]"
"Printing and reproduction of recorded media","Printing and reproduction of recorded media [18]"
"Manufacture of coke and refined petroleum products","Manufacture of coke and refined petroleum products [19]"
"Manufacture of chemicals and chemical products","Manufacture of chemicals and chemical products [20]"
"Manufacture of basic pharmaceutical products and pharmaceutical preparations","Manufacture of basic pharmaceutical products and pharmaceutical preparations [21]"
"Manufacture of rubber and plastic products","Manufacture of rubber and plastic products [22]"
"Manufacture of other non-metallic mineral products","Manufacture of other non-metallic mineral products [23]"
"Manufacture of basic metals","Manufacture of basic metals [24]"
"Manufacture of fabricated metal products, except machinery and equipment","Manufacture of fabricated metal products, except machinery and equipment [25]"
"Manufacture of computer, electronic and optical products","Manufacture of computer, electronic and optical products [26]"
"Manufacture of electrical equipment","Manufacture of electrical equipment [27]"
"Manufacture of machinery and equipment nec","Manufacture of machinery and equipment nec [28]"
"Manufacture of motor vehicles, trailers and semi-trailers","Manufacture of motor vehicles, trailers and semi-trailers [29]"
"Manufacture of other transport equipment","Manufacture of other transport equipment [30]"
"Manufacture of furniture","Manufacture of furniture [31]"
"Other manufacturing","Other manufacturing [32]"
"Repair and installation of machinery and equipment","Repair and installation of machinery and equipment [33]"
"Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply [35]"
"Water collection, treatment and supply","Water collection, treatment and supply [36]"
"Sewerage","Sewerage [37]"
"Waste collection, treatment and disposal activities; materials recovery","Waste collection, treatment and disposal activities; materials recovery [38]"
"Remediation activities and other waste management services","Remediation activities and other waste management services [39]"
"Construction of buildings","Construction of buildings [41]"
"Civil engineering","Civil engineering [42]"
"Specialised construction activities","Specialised construction activities [43]"
"Wholesale and retail trade and repair of motor vehicles and motorcycles","Wholesale and retail trade and repair of motor vehicles and motorcycles [45]"
"Wholesale trade, except of motor vehicles and motorcycles","Wholesale trade, except of motor vehicles and motorcycles [46]"
"Retail trade, except of motor vehicles and motorcycles","Retail trade, except of motor vehicles and motorcycles [47]"
"Land transport and transport via pipelines","Land transport and transport via pipelines [49]"
"Water transport","Water transport [50]"
"Air transport","Air transport [51]"
"Warehousing and support activities for transportation","Warehousing and support activities for transportation [52]"
"Postal and courier activities","Postal and courier activities [53]"
"Accommodation","Accommodation [55]"
"Food and beverage service activities","Food and beverage service activities [56]"
"Publishing activities","Publishing activities [58]"
"Motion picture, video and television programme production, sound recording and music publishing activities","Motion picture, video and television programme production, sound recording and music publishing activities [59]"
"Programming and broadcasting activities","Programming and broadcasting activities [60]"
"Telecommunications","Telecommunications [61]"
"Computer programming, consultancy and related activities","Computer programming, consultancy and related activities [62]"
"Information service activities","Information service activities [63]"
"Financial service activities, except insurance and pension funding","Financial service activities, except insurance and pension funding [64]"
"Insurance, reinsurance and pension funding, except compulsory social security","Insurance, reinsurance and pension funding, except compulsory social security [65]"
"Activities auxiliary to financial services and insurance activities","Activities auxiliary to financial services and insurance activities [66]"
"Real estate activities","Real estate activities [68]"
"Legal and accounting activities","Legal and accounting activities [69]"
"Activities of head offices; management consultancy activities","Activities of head offices; management consultancy activities [70]"
"Architectural and engineering activities; technical testing and analysis","Architectural and engineering activities; technical testing and analysis [71]"
"Scientific research and development","Scientific research and development [72]"
"Advertising and market research","Advertising and market research [73]"
"Other professional, scientific and technical activities","Other professional, scientific and technical activities [74]"
"Veterinary activities","Veterinary activities [75]"
"Rental and leasing activities","Rental and leasing activities [77]"
"Employment activities","Employment activities [78]"
"Travel agency, tour operator and other reservation service and related activities","Travel agency, tour operator and other reservation service and related activities [79]"
"Security and investigation activities","Security and investigation activities [80]"
"Services to buildings and landscape activities","Services to buildings and landscape activities [81]"
"Office administrative, office support and other business support activities","Office administrative, office support and other business support activities [82]"
"Public administration and defence; compulsory social security","Public administration and defence; compulsory social security [84]"
"Education","Education [85]"
"Human health activities","Human health activities [86]"
"Residential care activities","Residential care activities [87]"
"Social work activities without accommodation","Social work activities without accommodation [88]"
"Creative, arts and entertainment activities","Creative, arts and entertainment activities [90]"
"Libraries, archives, museums and other cultural activities","Libraries, archives, museums and other cultural activities [91]"
"Gambling and betting activities","Gambling and betting activities [92]"
