search_text,display_text
"Corporate managers and directors","Corporate managers and directors [11]"
"Other managers and proprietors","Other managers and proprietors [12]"
"Science, research, engineering and technology professionals","Science, research, engineering and technology professionals [21]"
"Health professionals","Health professionals [22]"
"Teaching and other educational professionals","Teaching and other educational professionals [23]"
"Business, media and public service professionals","Business, media and public service professionals [24]"
"Science, engineering and technology associate professionals","Science, engineering and technology associate professionals [31]"
"Health and social care associate professionals","Health and social care associate professionals [32]"
"Protective service occupations","Protective service occupations [33]"
"Culture, media and sports occupations","Culture, media and sports occupations [34]"
"Business and public service associate professionals","Business and public service associate professionals [35]"
"Administrative occupations","Administrative occupations [41]"
"Secretarial and related occupations","Secretarial and related occupations [42]"
"Skilled agricultural and related trades","Skilled agricultural and related trades [51]"
"Skilled metal, electrical and electronic trades","Skilled metal, electrical and electronic trades [52]"
"Skilled construction and building trades","Skilled construction and building trades [53]"
"Textiles, printing and other skilled trades","Textiles, printing and other skilled trades [54]"
"Caring personal service occupations","Caring personal service occupations [61]"
"Leisure, travel and related personal service occupations","Leisure, travel and related personal service occupations [62]"
"Community and civil enforcement occupations","Community and civil enforcement occupations [63]"
"Sales occupations","Sales occupations [71]"
"Customer service occupations","Customer service occupations [72]"
"Process, plant and machine operatives","Process, plant and machine operatives [81]"
"Transport and mobile machine drivers and operatives","Transport and mobile machine drivers and operatives [82]"
"Elementary trades and related occupations","Elementary trades and related occupations [91]"
"Elementary administration and service occupations","Elementary administration and service occupations [92]"
